prompt_id,seed,tier,DR_R1,DR_R2,DR_R3,dDR_R2_minus_R1,dDR_R3_minus_R1,dDR_R3_minus_R2,realized_dino,clip_dist,pixel_gap
P10H,44,high,0.9346004128456116,1.085016846656799,0.4172023832798004,0.1504164338111877,-0.5173980295658112,-0.6678144633769989,0.9673793315887452,0.521384596824646,0.7413479685783386
P10L,42,low,0.3307035565376282,0.2685820162296295,0.3027566373348236,-0.0621215403079986,-0.0279469192028045,0.034174621105194,0.6583950519561768,0.38500046730041504,0.6680316925048828
P10L,43,low,0.263030469417572,0.2894326150417328,0.2813378572463989,0.0264021456241607,0.0183073878288269,-0.0080947577953338,0.6203498840332031,0.29612958431243896,0.6476515531539917
P10L,44,low,0.4435485601425171,0.371515154838562,0.3602093458175659,-0.072033405303955,-0.0833392143249511,-0.011305809020996,0.5050454139709473,0.3783685564994812,0.7082663178443909
P11H,42,high,0.2324092388153076,0.2790339887142181,0.1313955783843994,0.0466247498989105,-0.1010136604309082,-0.1476384103298187,0.9947289228439332,0.4631502032279968,1.1306662559509275
P11H,43,high,0.2283928990364074,0.3784584999084472,0.1683603227138519,0.1500656008720398,-0.0600325763225555,-0.2100981771945953,0.9712607264518738,0.4359375238418579,1.0953075885772705
P11H,44,high,0.3425371646881103,0.1749173998832702,0.0920478478074073,-0.1676197648048401,-0.250489316880703,-0.0828695520758628,0.9626429677009584,0.40095067024230957,1.0086910724639893
P11L,42,low,0.2257488369941711,0.2507122159004211,0.1564484238624572,0.02496337890625,-0.0693004131317138,-0.0942637920379638,0.4794397950172424,0.21612656116485596,0.4177244007587433
P11L,43,low,0.165017768740654,0.1560980379581451,0.1502523124217987,-0.0089197307825088,-0.0147654563188552,-0.0058457255363464,0.2394423484802246,0.11167919635772705,0.6606460213661194
P11L,44,low,0.2369699478149414,0.2541508674621582,0.2532142996788025,0.0171809196472167,0.016244351863861,-0.0009365677833557,0.4102662801742553,0.16527611017227173,0.4918493032455444
P12H,42,high,0.4336347877979278,0.2013889402151107,0.1684632450342178,-0.232245847582817,-0.26517154276371,-0.0329256951808929,0.9307236671447754,0.49177777767181396,0.877729594707489
P12H,43,high,0.4713688492774963,0.4954256117343902,0.4462867975234985,0.0240567624568939,-0.0250820517539978,-0.0491388142108917,0.937796115875244,0.5307897329330444,0.8347966074943542
P12H,44,high,0.4102959632873535,0.4334058761596679,0.182009220123291,0.0231099128723144,-0.2282867431640625,-0.2513966560363769,0.9411872625350952,0.4976664185523987,0.8220895528793335
P13H,42,high,0.4872244894504547,0.4509792327880859,0.2760166525840759,-0.0362452566623687,-0.2112078368663787,-0.17496258020401,0.973843514919281,0.4593563675880432,0.9377205967903136
