group,endpoint,seed,abrupt,cls,gap,transit_frames,jump3,jump1,fracA,fracB,fracElse
both/effect,giant_grab_3,42,False,REAL,40.81388473510742,28,0.8909006118774414,0.33648788928985596,0.0,0.0,1.0
both/effect,giant_grab_3,43,False,REAL,40.36793899536133,35,0.6767908930778503,0.2818447947502136,0.0,0.0,1.0
both/effect,hero_flight_5,42,True,REAL,80.5755386352539,14,0.21854493021965027,0.13134580850601196,0.21153846153846154,0.19230769230769232,0.5961538461538461
both/effect,hero_flight_5,43,False,REAL,80.43762969970703,5,0.6000453233718872,0.25661134719848633,0.15384615384615385,0.25961538461538464,0.5865384615384615
both/effect,water_bending_3,42,False,REAL,81.82298278808594,21,0.21326535940170288,0.08372801542282104,0.08653846153846154,0.125,0.7884615384615384
both/effect,water_bending_3,43,False,REAL,82.01007080078125,17,0.33558976650238037,0.14674830436706543,0.0673076923076923,0.11538461538461539,0.8173076923076923
both/effect,shadow_smoke_7,42,False,REAL,94.04283905029297,10,0.30548587441444397,0.1308065950870514,0.009615384615384616,0.19230769230769232,0.7980769230769231
both/effect,shadow_smoke_7,43,False,REAL,94.11031341552734,10,0.2519446015357971,0.09555232524871826,0.057692307692307696,0.41346153846153844,0.5288461538461539
both/effect,firelava_4,42,False,REAL,96.57406616210938,26,0.19969433546066284,0.08105462789535522,0.028846153846153848,0.1346153846153846,0.8365384615384616
both/effect,firelava_4,43,False,REAL,96.50772857666016,40,0.13622701168060303,0.06113743782043457,0.028846153846153848,0.16346153846153846,0.8076923076923077
both/effect,raven_transition_2,42,False,REAL,107.98623657226562,54,0.33517321944236755,0.21434232592582703,0.0,0.4423076923076923,0.5576923076923077
both/effect,raven_transition_2,43,False,REAL,108.6485595703125,67,0.38755786418914795,0.1837291270494461,0.0,0.3269230769230769,0.6730769230769231
both/effect,melt_transition_2,42,False,CUT,70.65760803222656,16,0.3383638560771942,0.132493793964386,0.17307692307692307,0.46153846153846156,0.3653846153846153
both/effect,melt_transition_2,43,False,CUT,70.88336944580078,12,0.2766490876674652,0.10633093118667603,0.1346153846153846,0.4230769230769231,0.44230769230769235
both/neutral,shadow_smoke_2,42,False,CUT,111.11099243164062,12,0.4496065676212311,0.2137574851512909,0.28846153846153844,0.4230769230769231,0.2884615384615385
both/neutral,shadow_smoke_2,43,False,CUT,111.43536376953125,13,0.33153560757637024,0.1540905237197876,0.0673076923076923,0.5096153846153846,0.42307692307692313
both/neutral,hero_flight_1,42,False,REAL,88.38442993164062,65,0.33159640431404114,0.12742388248443604,0.10576923076923077,0.0,0.8942307692307693
both/neutral,hero_flight_1,43,True,REAL,88.44747161865234,66,0.43599647283554077,0.21618950366973877,0.019230769230769232,0.04807692307692308,0.9326923076923076
both/effect,flying_cam_transition_4,42,False,REAL,77.375,23,0.6686950325965881,0.24332749843597412,0.057692307692307696,0.34615384615384615,0.5961538461538461
