group,clip_id,gini_dino,step_dino,lerp_dino,gini_pix,step_pix
S-GRID-F:NULLGEN,gridF_v3__hvpair.humanvid_4650062.humanvid_7884019__s42,0.8225739919786816,0.11470983859599959,0.21778501516961546,0.8892129040120968,0.10638564639367978
S-GRID-F:NULLGEN,gridF_v3__hvpair.humanvid_4650062.humanvid_7884019__s43,0.7549072759680464,0.12309249459090588,0.24529501054258918,0.7213553842482374,0.19700672876113742
S-GRID-F:NULLGEN,gridF_v3__hvpair.humanvid_4734626.humanvid_7957231__s42,0.8592930534889605,0.23751830885771033,0.2507547132804736,0.8400491012578855,0.22660540324593806
S-GRID-F:NULLGEN,gridF_v3__hvpair.humanvid_4734626.humanvid_7957231__s43,0.6853357877023063,0.12103245268768996,0.31921554771916233,0.638038837021794,0.26148949292600293
S-GRID-F:NULLGEN,gridF_v3__hvpair.humanvid_4873451.humanvid_7969628__s42,0.7835418102201559,0.12285071461395002,0.20442779337904654,0.7916618880571273,0.11054982108523752
S-GRID-F:NULLGEN,gridF_v3__hvpair.humanvid_4873451.humanvid_7969628__s43,0.6595393827403979,0.10657065930061382,0.2055242805167408,0.7203034342249506,0.14135324993688275
S-GRID-F:NULLGEN,gridF_v3__hvpair.humanvid_5124224.humanvid_7970355__s42,0.8469410029607998,0.0394438082289039,0.2951634146855138,0.8888218922095374,0.05461202320799654
S-GRID-F:NULLGEN,gridF_v3__hvpair.humanvid_5124224.humanvid_7970355__s43,0.8257933350011186,0.1696617456935749,0.21360980266671,0.9328461548400024,0.08802671374419982
S-GRID:GT,GT__air_bending_1,0.5336169105937034,0.2268920411793053,0.10284386543181105,0.5377038108157042,0.2469459129054278
S-GRID:GT,GT__display_transition_1,0.6246097005502871,0.20941551706153513,0.13260425794720326,0.41491612944428335,0.2845462463206476
S-GRID:GT,GT__earth_wave_3,0.48515334791139897,0.2892119446292081,0.06631363832074606,0.442285894775988,0.29645400877667566
S-GRID:GT,GT__earth_wave_5,0.5923722511697247,0.3014055532937476,0.08003832499888831,0.5524230419914933,0.30052688761826624
S-GRID:GT,GT__firelava_4,0.5112764272027823,0.31030881982816877,0.07512433613490728,0.4626751549905559,0.22020915734269692
