space,stratum,tier,ref,default,descriptor,null,n_units,ref_med,def_med,null_med,ref_minus_def,def_minus_null,correct_dir,brief_criterion,paired_frac_correct,headroom_ratio,verdict
DINO,S-PROBE,inplace,R1,R3,path_over_gap,DINOLERP,30,19.0785,15.3133,1.0,3.7652,14.3133,True,True,1.0,0.263,RIGHT
DINO,S-PROBE,inplace,R1,R3,step_share,LERP,30,0.0251,0.0327,0.0317,-0.0076,0.001,False,True,0.3,7.333,no-gap(|ref-def|<0.02)
DINO,S-PROBE,inplace,R1,R3,step_share,CUT50,30,0.0251,0.0327,1.0,-0.0076,-0.9673,True,True,0.767,0.008,no-gap(|ref-def|<0.02)
DINO,S-PROBE,inplace,R1,R3,step_share,FREEZE,30,0.0251,0.0327,1.0,-0.0076,-0.9673,True,True,0.767,0.008,no-gap(|ref-def|<0.02)
DINO,S-PROBE,inplace,R1,R3,step_share,DINOLERP,30,0.0251,0.0327,0.0095,-0.0076,0.0232,False,False,0.233,0.328,no-gap(|ref-def|<0.02)
DINO,S-PROBE,inplace,R2,R3,DR,LERP,30,0.4415,0.4291,0.4417,0.0124,-0.0126,False,False,0.333,0.986,no-gap(|ref-def|<0.02)
DINO,S-PROBE,inplace,R2,R3,DR,CUT50,30,0.4415,0.4291,0.0,0.0124,0.4291,True,True,0.533,0.029,no-gap(|ref-def|<0.02)
DINO,S-PROBE,inplace,R2,R3,DR,FREEZE,30,0.4415,0.4291,0.0,0.0124,0.4291,True,True,0.533,0.029,no-gap(|ref-def|<0.02)
DINO,S-PROBE,inplace,R2,R3,DR,DINOLERP,30,0.4415,0.4291,0.0,0.0124,0.4291,True,True,0.533,0.029,no-gap(|ref-def|<0.02)
DINO,S-PROBE,inplace,R2,R3,M,LERP,30,0.25,0.2019,0.351,0.0481,-0.149,False,False,0.4,0.323,WRONG
DINO,S-PROBE,inplace,R2,R3,M,CUT50,30,0.25,0.2019,0.0,0.0481,0.2019,True,True,0.433,0.238,RIGHT
DINO,S-PROBE,inplace,R2,R3,M,FREEZE,30,0.25,0.2019,0.0,0.0481,0.2019,True,True,0.433,0.238,RIGHT
DINO,S-PROBE,inplace,R2,R3,M,DINOLERP,30,0.25,0.2019,0.5,0.0481,-0.2981,False,False,0.367,0.161,WRONG
DINO,S-PROBE,inplace,R2,R3,cross,LERP,30,0.3317,0.3317,0.6731,0.0,-0.3413,False,False,0.467,0.0,no-gap(|ref-def|<0.02)
DINO,S-PROBE,inplace,R2,R3,cross,CUT50,30,0.3317,0.3317,0.5,0.0,-0.1683,False,False,0.333,0.0,no-gap(|ref-def|<0.02)
DINO,S-PROBE,inplace,R2,R3,cross,FREEZE,30,0.3317,0.3317,1.0,0.0,-0.6683,False,False,0.433,0.0,no-gap(|ref-def|<0.02)
DINO,S-PROBE,inplace,R2,R3,cross,DINOLERP,30,0.3317,0.3317,0.5,0.0,-0.1683,False,False,0.333,0.0,no-gap(|ref-def|<0.02)
DINO,S-PROBE,inplace,R2,R3,nu_max,LERP,30,0.8612,0.8501,0.815,0.0111,0.0351,True,True,0.467,0.318,no-gap(|ref-def|<0.02)
DINO,S-PROBE,inplace,R2,R3,nu_max,CUT50,30,0.8612,0.8501,0.0,0.0111,0.8501,True,True,0.6,0.013,no-gap(|ref-def|<0.02)
DINO,S-PROBE,inplace,R2,R3,nu_max,FREEZE,30,0.8612,0.8501,0.0,0.0111,0.8501,True,True,0.6,0.013,no-gap(|ref-def|<0.02)
DINO,S-PROBE,inplace,R2,R3,nu_max,DINOLERP,30,0.8612,0.8501,0.4952,0.0111,0.3548,True,True,0.6,0.031,no-gap(|ref-def|<0.02)
DINO,S-PROBE,inplace,R2,R3,path_over_gap,LERP,30,15.3966,15.3133,3.451,0.0833,11.8623,True,True,0.633,0.007,RIGHT
DINO,S-PROBE,inplace,R2,R3,path_over_gap,CUT50,30,15.3966,15.3133,1.0,0.0833,14.3133,True,True,0.633,0.006,RIGHT
DINO,S-PROBE,inplace,R2,R3,path_over_gap,FREEZE,30,15.3966,15.3133,1.0,0.0833,14.3133,True,True,0.633,0.006,RIGHT
DINO,S-PROBE,inplace,R2,R3,path_over_gap,DINOLERP,30,15.3966,15.3133,1.0,0.0833,14.3133,True,True,0.633,0.006,RIGHT
DINO,S-PROBE,inplace,R2,R3,step_share,LERP,30,0.0328,0.0327,0.0317,0.0,0.001,True,True,0.433,0.016,no-gap(|ref-def|<0.02)
DINO,S-PROBE,inplace,R2,R3,step_share,CUT50,30,0.0328,0.0327,1.0,0.0,-0.9673,False,False,0.5,0.0,no-gap(|ref-def|<0.02)
DINO,S-PROBE,inplace,R2,R3,step_share,FREEZE,30,0.0328,0.0327,1.0,0.0,-0.9673,False,False,0.5,0.0,no-gap(|ref-def|<0.02)
DINO,S-PROBE,inplace,R2,R3,step_share,DINOLERP,30,0.0328,0.0327,0.0095,0.0,0.0232,True,True,0.5,0.001,no-gap(|ref-def|<0.02)
VAE,S-GRID,,GT,NULLGEN,DR,LERP,19,0.7407,0.5854,0.2786,0.1552,0.3068,True,True,0.789,0.506,RIGHT
VAE,S-GRID,,GT,NULLGEN,DR,CUT50,19,0.7407,0.5854,0.0938,0.1552,0.4916,True,True,0.789,0.316,RIGHT
VAE,S-GRID,,GT,NULLGEN,DR,FREEZE,19,0.7407,0.5854,0.0,0.1552,0.5854,True,True,0.789,0.265,RIGHT
VAE,S-GRID,,GT,NULLGEN,DR,LATLERP,19,0.7407,0.5854,0.0001,0.1552,0.5853,True,True,0.789,0.265,RIGHT
VAE,S-GRID,,GT,NULLGEN,M,LERP,19,0.6923,0.3846,0.6154,0.3077,-0.2308,False,True,0.211,1.333,WRONG(N between default and ref)
VAE,S-GRID,,GT,NULLGEN,M,CUT50,19,0.6923,0.3846,0.0769,0.3077,0.3077,True,True,0.632,1.0,RIGHT
VAE,S-GRID,,GT,NULLGEN,M,FREEZE,19,0.6923,0.3846,0.0,0.3077,0.3846,True,True,0.737,0.8,RIGHT
VAE,S-GRID,,GT,NULLGEN,M,LATLERP,19,0.6923,0.3846,0.5385,0.3077,-0.1538,False,True,0.211,2.0,WRONG(N between default and ref)
VAE,S-GRID,,GT,NULLGEN,cross,LERP,19,0.4615,0.4231,0.5385,0.0385,-0.1154,False,False,0.263,0.333,WRONG
VAE,S-GRID,,GT,NULLGEN,cross,CUT50,19,0.4615,0.4231,0.5385,0.0385,-0.1154,False,False,0.211,0.333,WRONG
VAE,S-GRID,,GT,NULLGEN,cross,FREEZE,19,0.4615,0.4231,1.0,0.0385,-0.5769,False,False,0.316,0.067,WRONG
VAE,S-GRID,,GT,NULLGEN,cross,LATLERP,19,0.4615,0.4231,0.5385,0.0385,-0.1154,False,False,0.211,0.333,WRONG
VAE,S-GRID,,GT,NULLGEN,nu_max,LERP,19,0.972,0.8973,0.5729,0.0748,0.3244,True,True,0.632,0.23,RIGHT
VAE,S-GRID,,GT,NULLGEN,nu_max,CUT50,19,0.972,0.8973,0.7298,0.0748,0.1675,True,True,0.632,0.446,RIGHT
VAE,S-GRID,,GT,NULLGEN,nu_max,FREEZE,19,0.972,0.8973,0.0009,0.0748,0.8964,True,True,0.632,0.083,RIGHT
VAE,S-GRID,,GT,NULLGEN,nu_max,LATLERP,19,0.972,0.8973,0.5,0.0748,0.3973,True,True,0.632,0.188,RIGHT
VAE,S-GRID,,GT,NULLGEN,path_over_gap,LERP,19,9.0025,7.0035,3.4808,1.999,3.5227,True,True,0.947,0.567,RIGHT
VAE,S-GRID,,GT,NULLGEN,path_over_gap,CUT50,19,9.0025,7.0035,2.919,1.999,4.0845,True,True,0.947,0.489,RIGHT
VAE,S-GRID,,GT,NULLGEN,path_over_gap,FREEZE,19,9.0025,7.0035,1.0014,1.999,6.0021,True,True,0.947,0.333,RIGHT
VAE,S-GRID,,GT,NULLGEN,path_over_gap,LATLERP,19,9.0025,7.0035,1.0,1.999,6.0035,True,True,0.947,0.333,RIGHT
VAE,S-GRID,,GT,NULLGEN,step_share,LERP,19,0.0926,0.1271,0.0812,-0.0345,0.0459,False,False,0.105,0.751,WRONG
VAE,S-GRID,,GT,NULLGEN,step_share,CUT50,19,0.0926,0.1271,0.2614,-0.0345,-0.1344,True,True,0.895,0.257,RIGHT
VAE,S-GRID,,GT,NULLGEN,step_share,FREEZE,19,0.0926,0.1271,0.9987,-0.0345,-0.8716,True,True,0.895,0.04,RIGHT
VAE,S-GRID,,GT,NULLGEN,step_share,LATLERP,19,0.0926,0.1271,0.0714,-0.0345,0.0556,False,False,0.105,0.619,WRONG
VAE,S-PROBE,high,R1,R3,DR,LERP,90,0.6793,0.6174,0.2688,0.062,0.3486,True,True,0.656,0.178,RIGHT
VAE,S-PROBE,high,R1,R3,DR,CUT50,90,0.6793,0.6174,0.0828,0.062,0.5345,True,True,0.678,0.116,RIGHT
VAE,S-PROBE,high,R1,R3,DR,FREEZE,90,0.6793,0.6174,0.0,0.062,0.6174,True,True,0.678,0.1,RIGHT
VAE,S-PROBE,high,R1,R3,DR,LATLERP,90,0.6793,0.6174,0.0001,0.062,0.6172,True,True,0.678,0.1,RIGHT
VAE,S-PROBE,high,R1,R3,M,LERP,90,0.6154,0.3077,0.6154,0.3077,-0.3077,False,False,0.067,1.0,WRONG
VAE,S-PROBE,high,R1,R3,M,CUT50,90,0.6154,0.3077,0.0769,0.3077,0.2308,True,True,0.544,1.333,RIGHT
VAE,S-PROBE,high,R1,R3,M,FREEZE,90,0.6154,0.3077,0.0,0.3077,0.3077,True,True,0.644,1.0,RIGHT
VAE,S-PROBE,high,R1,R3,M,LATLERP,90,0.6154,0.3077,0.5385,0.3077,-0.2308,False,True,0.078,1.333,WRONG(N between default and ref)
VAE,S-PROBE,high,R1,R3,cross,LERP,90,0.4615,0.3077,0.4615,0.1538,-0.1538,False,False,0.156,1.0,WRONG
VAE,S-PROBE,high,R1,R3,cross,CUT50,90,0.4615,0.3077,0.5385,0.1538,-0.2308,False,False,0.156,0.667,WRONG
VAE,S-PROBE,high,R1,R3,cross,FREEZE,90,0.4615,0.3077,1.0,0.1538,-0.6923,False,False,0.178,0.222,WRONG
VAE,S-PROBE,high,R1,R3,cross,LATLERP,90,0.4615,0.3077,0.5385,0.1538,-0.2308,False,False,0.156,0.667,WRONG
VAE,S-PROBE,high,R1,R3,nu_max,LERP,90,0.923,0.8592,0.5706,0.0638,0.2886,True,True,0.667,0.221,RIGHT
VAE,S-PROBE,high,R1,R3,nu_max,CUT50,90,0.923,0.8592,0.7667,0.0638,0.0925,True,True,0.544,0.69,RIGHT
VAE,S-PROBE,high,R1,R3,nu_max,FREEZE,90,0.923,0.8592,0.0007,0.0638,0.8585,True,True,0.667,0.074,RIGHT
VAE,S-PROBE,high,R1,R3,nu_max,LATLERP,90,0.923,0.8592,0.5,0.0638,0.3592,True,True,0.667,0.178,RIGHT
VAE,S-PROBE,high,R1,R3,path_over_gap,LERP,90,7.1259,6.5539,3.1845,0.572,3.3694,True,True,0.722,0.17,RIGHT
VAE,S-PROBE,high,R1,R3,path_over_gap,CUT50,90,7.1259,6.5539,2.8837,0.572,3.6702,True,True,0.722,0.156,RIGHT
