group,cls,clip_id,gini,offline,DR
GT:all-two-sided,shadow_smoke,GT__shadow_smoke_3,0.5248792556164514,0.5796468293506077,0.6481324358130784
GT:all-two-sided,shadow_smoke,GT__shadow_smoke_4,0.642211550670001,0.4902884709934459,0.4086064904699233
GT:all-two-sided,shadow_smoke,GT__shadow_smoke_5,0.5738003872918445,0.5537104685331011,0.5805529823078857
GT:all-two-sided,shadow_smoke,GT__shadow_smoke_6,0.5217103348763554,0.6239825369687968,0.6495697600817539
GT:all-two-sided,shadow_smoke,GT__shadow_smoke_7,0.5807190702396241,0.5606969267217377,0.6048279084830357
GT:all-two-sided,shadow_smoke,GT__shadow_smoke_8,0.5955149832138098,0.5241321016126681,0.6473945830838841
GT:all-two-sided,shadow_smoke,GT__shadow_smoke_9,0.500108520457496,0.532783084008495,0.5481585830144095
GT:all-two-sided,water_bending,GT__water_bending_0,0.4373832273956859,0.8773830174288584,1.019697515438097
GT:all-two-sided,water_bending,GT__water_bending_1,0.5847556284728059,0.41614496175825527,0.41155577381756336
GT:all-two-sided,water_bending,GT__water_bending_2,0.5210843797096081,0.6972046788617934,0.7691804606190202
GT:all-two-sided,water_bending,GT__water_bending_3,0.5578461608641707,0.6319988197349293,0.7240777055076921
S-GRID:NULLGEN,hero_flight_1,null_v2__hero_flight_1__s42,0.8082922279868656,0.3299073358884901,0.26468687952517617
S-GRID:NULLGEN,hero_flight_1,null_v2__hero_flight_1__s43,0.6529319903964677,0.37638141086705257,0.35283672112392117
S-GRID:NULLGEN,shadow_smoke_2,null_v2__shadow_smoke_2__s42,0.8344835792158682,0.1660651238284567,0.12965680400643753
S-GRID:NULLGEN,shadow_smoke_2,null_v2__shadow_smoke_2__s43,0.8611654206788757,0.16721846064381843,0.1266026756012834
S-GRID:NULLGEN,hero_flight_5,null_v2__hero_flight_5__s42,0.9359807146415018,0.19170809931914218,0.19118990649891676
S-GRID:NULLGEN,hero_flight_5,null_v2__hero_flight_5__s43,0.8995611107691617,0.23624129262433102,0.17429594690789174
S-GRID:NULLGEN,shadow_smoke_0,null_v2__shadow_smoke_0__s42,0.8209944030664342,0.28041699927744046,0.24252827685931877
S-GRID:NULLGEN,shadow_smoke_0,null_v2__shadow_smoke_0__s43,0.7041103976829239,0.36118537362904024,0.384606671666749
S-GRID:NULLGEN,hero_flight_6,null_v2__hero_flight_6__s42,0.5791897615627513,0.5109917011104935,0.505545105045617
S-GRID:NULLGEN,hero_flight_6,null_v2__hero_flight_6__s43,0.5553334431940844,0.8092203744744422,0.9047176590517669
S-GRID:NULLGEN,shadow_smoke_7,null_v2__shadow_smoke_7__s42,0.8471026112946196,0.26740394067689033,0.26388704100564175
S-GRID:NULLGEN,shadow_smoke_7,null_v2__shadow_smoke_7__s43,0.852172283956627,0.2588407900116118,0.16407458704554564
S-GRID:NULLGEN,display_transition_1,null_v2__display_transition_1__s42,0.9344666699082493,0.1518120752284025,0.12147411712987824
S-GRID:NULLGEN,display_transition_1,null_v2__display_transition_1__s43,0.9143901318236203,0.17472661403119075,0.1358105885919792
S-GRID:NULLGEN,earth_wave_3,null_v2__earth_wave_3__s42,0.7805311341700825,0.3598655371488354,0.14922843564291827
S-GRID:NULLGEN,earth_wave_3,null_v2__earth_wave_3__s43,0.6891920058753003,0.3548731869014432,0.23545737417754675
S-GRID:NULLGEN,melt_transition_2,null_v2__melt_transition_2__s42,0.8942641655396684,0.15621133185142683,0.06939833059933719
S-GRID:NULLGEN,melt_transition_2,null_v2__melt_transition_2__s43,0.8011952983982469,0.24761904392983944,0.14293386329266766
S-GRID:NULLGEN,raven_transition_2,null_v2__raven_transition_2__s42,0.816086698970649,0.36516977655848276,0.27679110016076636
S-GRID:NULLGEN,raven_transition_2,null_v2__raven_transition_2__s43,0.6882505779875447,0.3733358210776447,0.3542847109091045
S-GRID:NULLGEN,air_bending_1,null_v2__air_bending_1__s42,0.8822008364512361,0.24947345519895933,0.25496327078239633
S-GRID:NULLGEN,air_bending_1,null_v2__air_bending_1__s43,0.8065495314551103,0.2834387246269176,0.3341106830961589
S-GRID:NULLGEN,giant_grab_3,null_v2__giant_grab_3__s42,0.6854100930644857,0.6885377454205671,0.7099564851745718
S-GRID:NULLGEN,giant_grab_3,null_v2__giant_grab_3__s43,0.7793299460449656,0.4664322682507295,0.4532307646052053
S-GRID:NULLGEN,water_bending_3,null_v2__water_bending_3__s42,0.6948658453064394,0.27973573671195057,0.2839731492288319
S-GRID:NULLGEN,water_bending_3,null_v2__water_bending_3__s43,0.7173625360511084,0.3144330071406166,0.25337975635854837
S-GRID:NULLGEN,firelava_4,null_v2__firelava_4__s42,0.696745219262644,0.34749242591999996,0.24450946904395626
S-GRID:NULLGEN,firelava_4,null_v2__firelava_4__s43,0.6941116123510389,0.36890187618020676,0.39067495602311997
S-GRID:NULLGEN,flying_cam_transition_4,null_v2__flying_cam_transition_4__s42,0.7811850668746567,0.2671191782612253,0.24286708545991054
S-GRID:NULLGEN,flying_cam_transition_4,null_v2__flying_cam_transition_4__s43,0.7347442822337937,0.24889145703094903,0.2225122403551256
S-GRID:NULLGEN,hero_flight_1,null_v3__hero_flight_1__s42,0.8082922279868656,0.3299073358884901,0.26468687952517617
S-GRID:NULLGEN,hero_flight_1,null_v3__hero_flight_1__s43,0.6529319903964677,0.37638141086705257,0.35283672112392117
S-GRID:NULLGEN,shadow_smoke_2,null_v3__shadow_smoke_2__s42,0.8344835792158682,0.1660651238284567,0.12965680400643753
S-GRID:NULLGEN,shadow_smoke_2,null_v3__shadow_smoke_2__s43,0.8611654206788757,0.16721846064381843,0.1266026756012834
S-GRID:NULLGEN,hero_flight_5,null_v3__hero_flight_5__s42,0.9359807146415018,0.19170809931914218,0.19118990649891676
S-GRID:NULLGEN,hero_flight_5,null_v3__hero_flight_5__s43,0.8995611107691617,0.23624129262433102,0.17429594690789174
S-GRID:NULLGEN,shadow_smoke_0,null_v3__shadow_smoke_0__s42,0.8209944030664342,0.28041699927744046,0.24252827685931877
S-GRID:NULLGEN,shadow_smoke_0,null_v3__shadow_smoke_0__s43,0.7041103976829239,0.36118537362904024,0.384606671666749
S-GRID:NULLGEN,air_bending_1,null_v3__air_bending_1__s42,0.8822008364512361,0.24947345519895933,0.25496327078239633
S-GRID:NULLGEN,air_bending_1,null_v3__air_bending_1__s43,0.8065495314551103,0.2834387246269176,0.3341106830961589
S-GRID:NULLGEN,display_transition_1,null_v3__display_transition_1__s42,0.9344666699082493,0.1518120752284025,0.12147411712987824
S-GRID:NULLGEN,display_transition_1,null_v3__display_transition_1__s43,0.9143901318236203,0.17472661403119075,0.1358105885919792
S-GRID:NULLGEN,earth_wave_3,null_v3__earth_wave_3__s42,0.7805311341700825,0.3598655371488354,0.14922843564291827
S-GRID:NULLGEN,earth_wave_3,null_v3__earth_wave_3__s43,0.6891920058753003,0.3548731869014432,0.23545737417754675
S-GRID:NULLGEN,earth_wave_5,null_v3__earth_wave_5__s42,0.8118514332589544,0.25114548295975647,0.18846052354411277
S-GRID:NULLGEN,earth_wave_5,null_v3__earth_wave_5__s43,0.7970611374728418,0.2583442838943878,0.15663835819989827
S-GRID:NULLGEN,firelava_4,null_v3__firelava_4__s42,0.696745219262644,0.34749242591999996,0.24450946904395626
S-GRID:NULLGEN,firelava_4,null_v3__firelava_4__s43,0.6941116123510389,0.36890187618020676,0.39067495602311997
S-GRID:NULLGEN,hero_flight_6,null_v3__hero_flight_6__s42,0.5791897615627513,0.5109917011104935,0.505545105045617
S-GRID:NULLGEN,hero_flight_6,null_v3__hero_flight_6__s43,0.5553334431940844,0.8092203744744422,0.9047176590517669
S-GRID:NULLGEN,melt_transition_2,null_v3__melt_transition_2__s42,0.8942641655396684,0.15621133185142683,0.06939833059933719
S-GRID:NULLGEN,melt_transition_2,null_v3__melt_transition_2__s43,0.8011952983982469,0.24761904392983944,0.14293386329266766
S-GRID:NULLGEN,raven_transition_2,null_v3__raven_transition_2__s42,0.816086698970649,0.36516977655848276,0.27679110016076636
S-GRID:NULLGEN,raven_transition_2,null_v3__raven_transition_2__s43,0.6882505779875447,0.3733358210776447,0.3542847109091045
S-GRID:NULLGEN,water_bending_3,null_v3__water_bending_3__s42,0.6948658453064394,0.27973573671195057,0.2839731492288319
S-GRID:NULLGEN,water_bending_3,null_v3__water_bending_3__s43,0.7173625360511084,0.3144330071406166,0.25337975635854837
S-GRID:NULLGEN,flame_transition_2,null_v3__flame_transition_2__s42,0.7421635862991462,0.3996478823398914,0.2135242035942807
