group,cls,clip_id,gini,offline,DR,d_frames,fit_rmse,lerp_rmse,gap_rel
S-PROBE:R1:high,plasma_explosion_2,probe__P07H__plasma_explosion_2__s44,0.7003681703968556,0.5058773610061393,0.3373399364958771,12.0,0.0765110924465666,0.5093190480423349,0.7555154998698468
S-PROBE:R1:high,point_cloud_1,probe__P08H__point_cloud_1__s42,0.7592865383673864,0.3956038698300667,0.3675395066808529,16.0,0.1240027312742595,0.4027767774865231,0.9349949335865766
S-PROBE:R1:high,point_cloud_1,probe__P08H__point_cloud_1__s43,0.7817634882772366,0.3364485046456836,0.3691662121185213,32.0,0.0778912359824242,0.3414241868008961,0.945354812821624
S-PROBE:R1:high,point_cloud_1,probe__P08H__point_cloud_1__s44,0.6973897779807201,0.483475320967782,0.3518730047349267,48.0,0.0985849570802962,0.3224799173479092,0.928107955040056
S-PROBE:R1:high,point_cloud_0,probe__P09H__point_cloud_0__s42,0.6084094184043207,0.5069307779713191,0.6045945173434604,80.0,0.2832104495959641,0.298337541351596,0.7804601381929499
S-PROBE:R1:high,point_cloud_0,probe__P09H__point_cloud_0__s43,0.5878378806835611,0.7338745458762262,0.9019971825919022,80.0,0.2520531310565233,0.2615563012149359,0.7352263944808275
S-PROBE:R1:high,point_cloud_0,probe__P09H__point_cloud_0__s44,0.519080179508649,0.4962785628077334,0.5909915229700173,24.0,0.2430309091079711,0.3063948281005066,0.8642370487575631
S-PROBE:R1:high,monstrosity_0,probe__P10H__monstrosity_0__s42,0.4164490030514256,1.26863382170482,1.528233646419182,104.0,0.0857041731511676,0.0857041731511676,0.4563432347287012
S-PROBE:R1:high,monstrosity_0,probe__P10H__monstrosity_0__s43,0.5417962313778946,0.8833207173068112,0.8341830775706505,64.0,0.107022665191727,0.203619950177607,0.5809289917400591
S-PROBE:R1:high,monstrosity_0,probe__P10H__monstrosity_0__s44,0.5791218007020966,0.8479869464601183,0.934600722333061,64.0,0.0435434657831363,0.1378679244144546,0.7384348119883304
S-PROBE:R1:high,water_element_3,probe__P11H__water_element_3__s42,0.7819868555451741,0.2384136991026501,0.2324094028855418,12.0,0.0349618580398054,0.3619380620381959,1.139747612467292
S-PROBE:R1:high,water_element_3,probe__P11H__water_element_3__s43,0.6870645131972009,0.2504668098964203,0.2283930601643028,24.0,0.0574129711456627,0.3367061536006535,1.0932199167819765
S-PROBE:R1:high,water_element_3,probe__P11H__water_element_3__s44,0.7825349406622539,0.3084328878661776,0.3425373888809533,8.0,0.1210485430539299,0.4371520362342388,1.011905458804253
S-PROBE:R1:high,water_element_4,probe__P12H__water_element_4__s42,0.5616380505749838,0.4051464364962482,0.4336350566238307,48.0,0.05327034456263,0.12313059806366,0.8642271910728541
S-PROBE:R1:high,water_element_4,probe__P12H__water_element_4__s43,0.5218564285305141,0.3975976238580033,0.4713689852221185,80.0,0.0511121500790808,0.1070823480770365,0.8408681220197589
