space,group,key,s0,d_frames,rmse_fit,rmse_lerp,rmse_cut,rho_mean,rho_at_cross,nu_mean
DINO,S-GRID:NULLGEN,null_v3__shadow_smoke_2__s43,0.14,8.0,0.0262722647254003,0.3933270575029294,0.0737793924673497,0.1694671475619199,0.4860892450458375,0.1756981144421233
DINO,S-GRID:NULLGEN,null_v3__hero_flight_5__s42,0.065,0.5,0.020774518780244,0.4907485634464752,0.020774518780244,0.1937141401550744,0.2188973596877415,0.1943733365501586
DINO,S-GRID:NULLGEN,null_v3__hero_flight_5__s43,0.055,16.0,0.0534526811566211,0.4294570410905654,0.0838979680597386,0.2364039832165171,0.7602724904370148,0.2425030391146453
DINO,S-GRID:NULLGEN,null_v3__shadow_smoke_0__s42,0.07,12.0,0.0613359239830735,0.4001593872962047,0.1018857681679685,0.2857281948903481,0.5658156008076105,0.2968444260728688
DINO,S-GRID:NULLGEN,null_v3__shadow_smoke_0__s43,0.125,24.0,0.0662468827447844,0.2864538598258752,0.134395327782177,0.3640571988479761,0.686087271789343,0.3818790860013554
DINO,S-GRID:NULLGEN,null_v3__air_bending_1__s42,0.44,16.0,0.0503719601668906,0.2322918711826914,0.1145913228208881,0.2561616293351911,0.9145329685207771,0.2665921995371146
DINO,S-GRID:NULLGEN,null_v3__air_bending_1__s43,0.305,12.0,0.058537651064736,0.2464706058430003,0.0750906707612424,0.2880940184390095,0.5637069489877484,0.2979716544457164
DINO,S-GRID:NULLGEN,null_v3__display_transition_1__s42,0.38,2.0,0.0237143224284324,0.2808237624111722,0.0368612743014075,0.1522290006144652,0.3251604181939199,0.1531132561162346
DINO,S-GRID:NULLGEN,null_v3__display_transition_1__s43,0.6950000000000001,16.0,0.0409712441802012,0.3532084398257921,0.1224499926798311,0.1801762487997179,0.8395061560536443,0.1913518569559268
DINO,S-GRID:NULLGEN,null_v3__earth_wave_3__s42,0.1,48.0,0.0778661394029822,0.2329847660681447,0.2274264238942438,0.3628767303899227,0.9451761764978458,0.3931146125178327
DINO,S-GRID:NULLGEN,null_v3__earth_wave_3__s43,0.02,48.0,0.044027785891265,0.2871502842267451,0.1752829663595425,0.3581754193966409,0.8664094917572158,0.3806813076146961
DINO,S-GRID:NULLGEN,null_v3__earth_wave_5__s42,0.38,16.0,0.0238964874324573,0.2401924894017067,0.1044804181861411,0.25436581815225,0.8886377188978393,0.2633485676071009
DINO,S-GRID:NULLGEN,null_v3__earth_wave_5__s43,0.4,12.0,0.0492306243893276,0.2362552829233913,0.0679217850404664,0.261923577541991,0.7763226165715559,0.2682234193663186
