clip_id,stratum,group,owner,gap_over_anchor_norm,d_encLERP_to_LATLERP_med,d_encLERP_to_LATLERP_mid,latlerp_norm_min,enclerp_norm_min,main_norm_min,main_norm_med,cut_norm_min,dino_cos_AB,dino_chord_mid_norm,anchor_a_norm,anchor_b_norm
null_v3__display_transition_1__s43,S-GRID,NULLGEN,GT__display_transition_1,1.3828867022586415,0.35850005529965945,0.35110363380364407,0.7067601256380079,0.835213632800831,0.8611782074889491,1.1159037348020362,0.8479457622811858,0.013234228360943234,0.7117704083343671,235.4108532604055,176.30390413396032
null_v3__earth_wave_3__s42,S-GRID,NULLGEN,GT__earth_wave_3,1.342522447207304,0.3571200407603362,0.36217168380514136,0.74175196797361,0.8753102482384153,0.848586486430262,1.0165569409366726,0.9841743627932305,0.17680546726660396,0.7670741382899713,251.78643794667897,266.3287620105353
null_v3__earth_wave_3__s43,S-GRID,NULLGEN,GT__earth_wave_3,1.342522447207304,0.3571200407603362,0.36217168380514136,0.74175196797361,0.8753102482384153,0.8743108658857298,0.9872375592808283,0.9841743627932305,0.16740315929882854,0.7640036515942933,251.78643794667897,266.3287620105353
null_v3__earth_wave_5__s42,S-GRID,NULLGEN,GT__earth_wave_5,1.4174067837123738,0.36326285350043075,0.36326285350043075,0.6982788743246591,0.8452507118862168,0.8883400741668828,0.9593936001774279,0.9057748474096785,0.27399946916968076,0.7981226312947406,257.14911921274575,205.71696995755335
null_v3__earth_wave_5__s43,S-GRID,NULLGEN,GT__earth_wave_5,1.4174067837123738,0.36326285350043075,0.36326285350043075,0.6982788743246591,0.8452507118862168,0.8942319674899213,0.9234724017129505,0.9057748474096785,0.2547455183225793,0.7920686581107029,257.14911921274575,205.71696995755335
null_v3__firelava_4__s42,S-GRID,NULLGEN,GT__firelava_4,1.397121647958441,0.41847537832992276,0.41847537832992276,0.7160804127416995,0.8799839099084819,0.9535467560912174,0.988001159852276,1.0132022935775886,0.29597403963680335,0.8049764094794342,221.5465598337756,234.10116819779185
null_v3__firelava_4__s43,S-GRID,NULLGEN,GT__firelava_4,1.397121647958441,0.41847537832992276,0.41847537832992276,0.7160804127416995,0.8799839099084819,0.93264078619146,0.9811647949303162,1.0132022935775886,0.28246348267921917,0.8007694682863536,221.5465598337756,234.10116819779185
null_v3__hero_flight_6__s42,S-GRID,NULLGEN,GT__hero_flight_6,1.388812336105242,0.5596434176738075,0.5506374383194332,0.716734296101961,0.9033787830101269,0.9118167841748875,0.9507304716093542,0.984214829982127,0.6261708183515111,0.9017124869800548,238.55025659497105,210.53909232754143
null_v3__hero_flight_6__s43,S-GRID,NULLGEN,GT__hero_flight_6,1.388812336105242,0.5596434176738075,0.5506374383194332,0.716734296101961,0.9033787830101269,0.9083501315300081,0.9309216733744208,0.984214829982127,0.6075179058556159,0.8965260469879321,238.55025659497105,210.53909232754143
null_v3__melt_transition_2__s42,S-GRID,NULLGEN,GT__melt_transition_2,1.2930741673604522,0.3168038714513466,0.3365477508303254,0.76316367352084,0.8554819641407252,0.9231046401963556,1.00920159865753,0.9801422387665059,0.06567501760741834,0.7299571965558729,216.1648871262639,207.3980081478816
null_v3__melt_transition_2__s43,S-GRID,NULLGEN,GT__melt_transition_2,1.2930741673604522,0.3168038714513466,0.3365477508303254,0.76316367352084,0.8554819641407252,0.901841985629041,0.9964321419898099,0.9801422387665059,0.06997935343861172,0.7314298850329441,216.1648871262639,207.3980081478816
null_v3__raven_transition_2__s42,S-GRID,NULLGEN,GT__raven_transition_2,1.364211264105929,0.4758348776523132,0.4758348776523132,0.7305565049406557,0.8967549810807883,0.922225012169966,1.0481023715449431,0.9867437878530794,0.20050930311481352,0.7747610286774927,185.89560127746682,202.76604734739445
null_v3__raven_transition_2__s43,S-GRID,NULLGEN,GT__raven_transition_2,1.364211264105929,0.4758348776523132,0.4758348776523132,0.7305565049406557,0.8967549810807883,0.9652929296352046,1.0575698923077395,0.9867437878530794,0.16316460208054195,0.7626154345672994,185.89560127746682,202.76604734739445
null_v3__water_bending_3__s42,S-GRID,NULLGEN,GT__water_bending_3,1.3049140149631315,0.356017386986508,0.3674237027930374,0.7562268113137687,0.864055345103255,0.8900475433291603,0.9662542984267707,0.9447075582812848,0.13733455683359352,0.7541003105799631,237.83440568749447,216.73297318669864
null_v3__water_bending_3__s43,S-GRID,NULLGEN,GT__water_bending_3,1.3049140149631315,0.356017386986508,0.3674237027930374,0.7562268113137687,0.864055345103255,0.9237256033820861,0.9478693897687346,0.9447075582812848,0.15422059055890713,0.7596777575258167,237.83440568749447,216.73297318669864
null_v3__flame_transition_2__s42,S-GRID,NULLGEN,GT__flame_transition_2,1.2456482847020904,0.3338857321641533,0.35361393692036985,0.7788589510014396,0.8747123461685706,0.9361650194412996,0.9555236010334277,0.9309041937053955,0.4563122779511559,0.8533206542534746,233.23505448393135,207.22532574953647
null_v3__flame_transition_2__s43,S-GRID,NULLGEN,GT__flame_transition_2,1.2456482847020904,0.3338857321641533,0.35361393692036985,0.7788589510014396,0.8747123461685706,0.907850540231698,0.9481571724393042,0.9309041937053955,0.46582045913413594,0.856101763557971,233.23505448393135,207.22532574953647
null_v3__flame_transition_3__s42,S-GRID,NULLGEN,GT__flame_transition_3,1.2550397077202853,0.2737040060805911,0.30332495918079067,0.7690525398168138,0.82735656275568,0.8831541598312833,1.0849355807449887,0.8888479249534627,0.42857799574062483,0.8451561973211298,229.69323145442888,280.3967692203916
