clip_id,group,cls,path,a_idx,b_idx,gini,offline,DR,gap_rel
base_cond|06_effect_v3__dai|fb2d29f91a,GEN:base_cond:v3:effect:start,color_rain_2,store/gens/005_base_cond/06_effect_v3__dai/videos/G-unseen-cross__base_cond_effect_v3__color_rain_2__ref_fire_element_2__s43.mp4,8,120,0.4794340890923296,0.3471734682940871,0.4070688334984134,0.5401701824970898
base_cond|06_effect_v3__dai|8bb3246832,GEN:base_cond:v3:effect:both,air_bending_1,store/gens/005_base_cond/06_effect_v3__dai/videos/G-unseen-cross__base_cond_effect_v3__air_bending_1__ref_flame_transition_2__s42.mp4,8,113,0.719318097754178,0.8536820729489314,0.3408291418366392,1.0861151742028066
base_cond|06_effect_v3__dai|b09fcb4480,GEN:base_cond:v3:effect:both,air_bending_1,store/gens/005_base_cond/06_effect_v3__dai/videos/G-unseen-cross__base_cond_effect_v3__air_bending_1__ref_flame_transition_2__s43.mp4,8,113,0.7115361038813859,0.7556694261961465,0.4886217048956017,1.0861677468307676
base_cond|06_effect_v3__dai|981363a823,GEN:base_cond:v3:effect:start,animalization_2,store/gens/005_base_cond/06_effect_v3__dai/videos/G-unseen-cross__base_cond_effect_v3__animalization_2__ref_sakura_petals_1__s42.mp4,8,120,0.4127259608463309,0.5596687425017746,0.6208604956247493,0.3219237976171926
base_cond|06_effect_v3__dai|d588cc26b2,GEN:base_cond:v3:effect:start,animalization_2,store/gens/005_base_cond/06_effect_v3__dai/videos/G-unseen-cross__base_cond_effect_v3__animalization_2__ref_sakura_petals_1__s43.mp4,8,120,0.4051299195424827,0.5862751635908787,0.6328458793918484,0.3813771257123732
base_cond|06_effect_v3__dai|8e477ee8c8,GEN:base_cond:v3:effect:start,cotton_cloud_0,store/gens/005_base_cond/06_effect_v3__dai/videos/G-unseen-cross__base_cond_effect_v3__cotton_cloud_0__ref_animalization_2__s42.mp4,8,120,0.5868448830117803,0.2787523990030108,0.2893268142363748,0.776591268372037
base_cond|06_effect_v3__dai|c071958458,GEN:base_cond:v3:effect:start,cotton_cloud_0,store/gens/005_base_cond/06_effect_v3__dai/videos/G-unseen-cross__base_cond_effect_v3__cotton_cloud_0__ref_animalization_2__s43.mp4,8,120,0.5962370884065127,0.3458706930230991,0.3956514046421285,0.8607354490140104
base_cond|06_effect_v3__dai|6c3e21b8b7,GEN:base_cond:v3:effect:start,cotton_cloud_0,store/gens/005_base_cond/06_effect_v3__dai/videos/G-unseen-cross__base_cond_effect_v3__cotton_cloud_0__ref_wonderland_1__s42.mp4,8,120,0.6092265674050206,0.1481635563684425,0.1461458960124706,0.953709032155375
base_cond|06_effect_v3__dai|54a73f9919,GEN:base_cond:v3:effect:start,cotton_cloud_0,store/gens/005_base_cond/06_effect_v3__dai/videos/G-unseen-cross__base_cond_effect_v3__cotton_cloud_0__ref_wonderland_1__s43.mp4,8,120,0.5381276655657941,0.2859701506330604,0.3047441809287438,0.9421577116346724
base_cond|06_effect_v3__dai|61ce3edf00,GEN:base_cond:v3:effect:both,display_transition_1,store/gens/005_base_cond/06_effect_v3__dai/videos/G-unseen-cross__base_cond_effect_v3__display_transition_1__ref_air_bending_1__s42.mp4,8,113,0.7842891792273814,1.426901275127623,1.4477733158762942,0.825941139338721
base_cond|06_effect_v3__dai|4d2b00da10,GEN:base_cond:v3:effect:both,display_transition_1,store/gens/005_base_cond/06_effect_v3__dai/videos/G-unseen-cross__base_cond_effect_v3__display_transition_1__ref_air_bending_1__s43.mp4,8,113,0.5838735544368232,1.4460545350709673,1.6408928984450812,0.810388010095488
base_cond|06_effect_v3__dai|f014c4228e,GEN:base_cond:v3:effect:start,earth_element_4,store/gens/005_base_cond/06_effect_v3__dai/videos/G-unseen-cross__base_cond_effect_v3__earth_element_4__ref_super_fast_run_3__s42.mp4,8,120,0.4456771851688066,0.3197402614558818,0.3124632523937546,0.5230373801090517
base_cond|06_effect_v3__dai|71fd341782,GEN:base_cond:v3:effect:start,earth_element_4,store/gens/005_base_cond/06_effect_v3__dai/videos/G-unseen-cross__base_cond_effect_v3__earth_element_4__ref_super_fast_run_3__s43.mp4,8,120,0.5113547249629535,0.7569246484600426,0.8288084640241988,0.4501173249475249
base_cond|06_effect_v3__dai|6a772b6928,GEN:base_cond:v3:effect:both,firelava_4,store/gens/005_base_cond/06_effect_v3__dai/videos/G-unseen-cross__base_cond_effect_v3__firelava_4__ref_hero_flight_6__s42.mp4,8,113,0.721694473913181,0.3775978719084489,0.3863371863633562,0.9619252508124648
base_cond|06_effect_v3__dai|8b69a3316a,GEN:base_cond:v3:effect:both,firelava_4,store/gens/005_base_cond/06_effect_v3__dai/videos/G-unseen-cross__base_cond_effect_v3__firelava_4__ref_hero_flight_6__s43.mp4,8,113,0.6760042834607691,0.4230855772532447,0.5179859305705823,0.9603818357500618
base_cond|06_effect_v3__dai|48081267f1,GEN:base_cond:v3:effect:start,live_concert_0,store/gens/005_base_cond/06_effect_v3__dai/videos/G-unseen-cross__base_cond_effect_v3__live_concert_0__ref_plasma_explosion_2__s42.mp4,8,120,0.7137078941992898,0.5803971304550795,0.5519247976679064,0.6231470304322618
base_cond|06_effect_v3__dai|e502044513,GEN:base_cond:v3:effect:start,live_concert_0,store/gens/005_base_cond/06_effect_v3__dai/videos/G-unseen-cross__base_cond_effect_v3__live_concert_0__ref_plasma_explosion_2__s43.mp4,8,120,0.7555336344922121,0.5567760957890877,0.6651285636249678,0.6927745081271716
base_cond|06_effect_v3__dai|84fb2714a1,GEN:base_cond:v3:effect:both,earth_wave_5,store/gens/005_base_cond/06_effect_v3__dai/videos/G-unseen-cross__base_cond_effect_v3__earth_wave_5__ref_flame_transition_3__s42.mp4,8,113,0.6713505979388503,0.4894387041575878,0.253928206136532,0.9135649755592148
