recipe,clip,latent_frame,sqerr,frac_of_clip_total,is_conditioned,region
exp_030,shadow_smoke_8,12,40484.08984375,0.11835037680144413,1,end
exp_030,shadow_smoke_8,13,13032.134765625,0.03809788156265122,1,end
exp_030,shadow_smoke_8,14,13362.29296875,0.03906305943610078,1,end
exp_030,shadow_smoke_8,15,14697.2373046875,0.042965608950661434,1,end
exp_030,shadow_smoke_9,0,15811.3046875,0.023755826574520585,1,start
exp_030,shadow_smoke_9,1,13237.43359375,0.019888692486804485,1,start
exp_030,shadow_smoke_9,2,12403.87109375,0.018636299557795992,1,start
exp_030,shadow_smoke_9,3,11140.9052734375,0.016738746029489736,1,start
exp_030,shadow_smoke_9,4,34211.7421875,0.05140171733335712,0,middle
exp_030,shadow_smoke_9,5,85599.5546875,0.12860976473497868,0,middle
exp_030,shadow_smoke_9,6,84328.0390625,0.12669936548132485,0,middle
exp_030,shadow_smoke_9,7,72780.5859375,0.10934979824214722,0,middle
exp_030,shadow_smoke_9,8,91699.1328125,0.1377741267518459,0,middle
exp_030,shadow_smoke_9,9,71417.7421875,0.1073021822855232,0,middle
exp_030,shadow_smoke_9,10,50504.328125,0.07588064893523243,0,middle
exp_030,shadow_smoke_9,11,17286.919921875,0.025972876988218967,0,middle
exp_030,shadow_smoke_9,12,56188.67578125,0.08442114447181605,1,end
exp_030,shadow_smoke_9,13,16316.7373046875,0.024515218024898786,1,end
exp_030,shadow_smoke_9,14,16404.427734375,0.024646969242212834,1,end
exp_030,shadow_smoke_9,15,16244.458984375,0.024406622859833197,1,end
exp_032,shadow_smoke_0,0,0.0,0.0,1,start
exp_032,shadow_smoke_0,1,0.0,0.0,1,start
exp_032,shadow_smoke_0,2,0.0,0.0,1,start
exp_032,shadow_smoke_0,3,0.0,0.0,1,start
exp_032,shadow_smoke_0,4,15.287857055664062,0.026334241306842622,0,middle
exp_032,shadow_smoke_0,5,59.95134735107422,0.10326975468603053,0,middle
exp_032,shadow_smoke_0,6,68.543701171875,0.11807059420767599,0,middle
exp_032,shadow_smoke_0,7,81.11858367919922,0.1397315758055109,0,middle
exp_032,shadow_smoke_0,8,143.9932861328125,0.24803698319391487,0,middle
exp_032,shadow_smoke_0,9,129.83779907226562,0.2236533164242011,0,middle
